	0	1	2	3	4	5
414	300956	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2017367241119722	0.0087337954691664
414	3003	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2212532600318311	0.00910996692457
414	2114	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2661053036771829	0.0007262402547622
414	600155	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2279893696063266	0.0008495964621586
414	600558	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2446413591752521	0.0008173081286132
414	300995	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2579970257313809	0.0015464141717397
414	2286	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2388260605616781	0.0040715088336964
414	2398	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2558427492699952	0.0003945447091501
414	2378	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2571556192008488	0.001932214388671
414	600215	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2705200604873553	0.000611101298108
414	631	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2084858183690771	0.0054905646942223
414	301053	type3	target_close2	amount_normalize20_rolling_96_mean	-0.4122373236887108	9.04268380784864e-07
414	300697	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2197139384367479	0.0044513939911999
414	300255	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2292692131935224	0.0019054120763515
414	603186	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2141838185476192	0.0084914747292882
414	603530	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2265696045897259	0.0037408123476629
414	600337	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2219165463130751	0.0018719257395915
414	300446	type3	target_close2	amount_normalize20_rolling_96_mean	-0.284567466291723	5.061108250679376e-05
414	300660	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2549155528392944	0.0031798588517
414	767	type3	target_close2	amount_normalize20_rolling_96_mean	-0.207615748222624	0.0065941767793582
414	603387	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2194878760295225	0.0031566317633894
414	300685	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2061469618479318	0.0119478238391643
414	600467	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2060388469633709	0.0028970473075315
414	300419	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2643945633166053	0.0010361785399472
414	600358	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2448571905091944	0.0006404056825713
414	301040	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2756856389772838	0.0014369612348259
414	300465	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2188692799033531	0.0069344039156305
414	300127	type3	target_close2	amount_normalize20_rolling_96_mean	-0.256607277691204	0.0012684783944965
414	603558	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2569744785176732	0.0009632788507982
414	601158	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2593812373710778	0.000377277226032
414	603167	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2481695390670689	0.001028965137363
414	603798	type3	target_close2	amount_normalize20_rolling_96_mean	-0.3131372406654524	0.0001189050941444
